"CRASH_ID","UNIT_NBR","DRVR_LIC_RESTRIC_ID"
14768622,1,"NONE"
14838637,1,"OTHER/OUT OF STATE"
14838637,2,"NONE"
14838641,1,"WITH CORRECTIVE LENSES"
14838641,2,"UNLICENSED"
14838668,1,"NONE"
14838669,1,"NONE"
14838669,2,"WITH CORRECTIVE LENSES"
14838670,1,"NONE"
14838685,1,"UNLICENSED"
14838693,1,"NONE"
14838768,1,"OTHER/OUT OF STATE"
14838768,2,"WITH CORRECTIVE LENSES"
14838834,1,"UNKNOWN"
14838841,1,"WITH CORRECTIVE LENSES"
14838842,1,"NONE"
14838842,2,"NONE"
14838866,1,"NONE"
14838877,1,"NONE"
14838972,1,"NONE"
14838972,2,"NONE"
14838977,1,"WITH CORRECTIVE LENSES"
14839046,1,"NONE"
14839046,2,"NONE"
14839047,1,"NONE"
14839048,1,"NONE"
14839097,1,"NONE"
14839097,2,"UNLICENSED"
14839097,3,"WITH CORRECTIVE LENSES"
14839100,1,"WITH CORRECTIVE LENSES"
14839100,2,"UNLICENSED"
14839166,1,"UNLICENSED"
14839211,1,"NONE"
14839211,2,"NONE"
14839233,1,"NONE"
14839240,1,"UNLICENSED"
14839240,2,"NONE"
14839240,3,"NONE"
14839272,1,"NONE"
14839272,2,"WITH CORRECTIVE LENSES"
14839307,1,"NONE"
14839307,2,"NONE"
14839314,1,"NONE"
14839330,1,"WITH CORRECTIVE LENSES"
14839342,1,"NONE"
14839342,2,"NONE"
14839343,1,"UNKNOWN"
14839343,2,"NONE"
14839345,1,"NONE"
14839345,2,"UNLICENSED"
14839404,1,"NONE"
14839404,2,"NONE"
14839404,3,"NONE"
14839435,1,"NONE"
14839442,1,"NONE"
14839472,1,"NONE"
14839510,1,"NONE"
14839510,2,"NONE"
14839517,1,"UNLICENSED"
14839519,1,"NONE"
14839551,1,"UNLICENSED"
14839561,1,"UNLICENSED"
14839615,1,"UNLICENSED"
14839615,2,"NONE"
14839642,1,"WITH CORRECTIVE LENSES"
14839642,2,"WITH CORRECTIVE LENSES"
14839642,2,"IF CMV, SCHOOL BUSES INTERSTATE"
14839675,1,"NONE"
14839713,1,"WITH CORRECTIVE LENSES"
14839721,1,"NONE"
14839735,1,"NONE"
14839735,2,"NONE"
14839747,1,"NONE"
14839747,2,"WITH CORRECTIVE LENSES"
14839755,1,"WITH CORRECTIVE LENSES"
14839755,2,"NONE"
14839761,1,"NONE"
14839783,1,"NONE"
14839807,1,"UNLICENSED"
14839807,2,"WITH CORRECTIVE LENSES"
14839836,1,"NONE"
14839850,1,"NONE"
14839852,1,"IF CMV, ONLY TRANS PERSONAL PROP INTERSTATE"
14839875,1,"NONE"
14839875,2,"NONE"
14839880,1,"UNLICENSED"
14839880,2,"NONE"
14839887,1,"NONE"
14839887,2,"NONE"
14839908,1,"UNLICENSED"
14839908,2,"NONE"
14839921,1,"NONE"
14839921,2,"NONE"
14839939,1,"NONE"
14839939,2,"WITH CORRECTIVE LENSES"
14839966,1,"NONE"
14839966,2,"NONE"
14839969,1,"NONE"
14839969,2,"UNLICENSED"
14839998,1,"UNLICENSED"
14840001,1,"NONE"
14840001,2,"NONE"
14840005,1,"NONE"
14840005,2,"WITH CORRECTIVE LENSES"
14840017,1,"NONE"
14840017,2,"NONE"
14840030,1,"NONE"
14840036,1,"NONE"
14840036,2,"UNLICENSED"
14840049,1,"UNLICENSED"
14840049,2,"UNLICENSED"
14840063,1,"WITH CORRECTIVE LENSES"
14840064,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14840065,1,"OTHER/OUT OF STATE"
14840072,1,"UNKNOWN"
14840072,2,"WITH CORRECTIVE LENSES"
14840072,3,"NONE"
14840075,1,"UNKNOWN"
14840075,2,"NONE"
14840081,1,"NONE"
14840081,2,"NONE"
14840107,1,"WITH CORRECTIVE LENSES"
14840107,2,"UNLICENSED"
14840111,1,"NONE"
14840111,2,"NONE"
14840111,3,"NONE"
14840114,1,"NONE"
14840114,2,"WITH CORRECTIVE LENSES"
14840118,1,"NONE"
14840118,2,"UNLICENSED"
14840137,1,"NONE"
14840137,2,"NONE"
14840150,1,"NONE"
14840150,2,"NONE"
14840230,1,"WITH CORRECTIVE LENSES"
14840262,1,"UNLICENSED"
14840269,1,"NONE"
14840277,1,"NONE"
14840277,2,"NONE"
14840283,1,"NONE"
14840283,2,"NONE"
14840291,1,"NONE"
14840291,2,"NONE"
14840296,1,"UNKNOWN"
14840301,1,"NONE"
14840301,2,"UNLICENSED"
14840303,1,"NONE"
14840303,2,"WITH CORRECTIVE LENSES"
14840303,3,"NONE"
14840303,4,"NONE"
14840303,5,"WITH CORRECTIVE LENSES"
14840368,1,"NONE"
14840368,2,"NONE"
14840432,1,"NONE"
14840441,1,"UNLICENSED"
14840441,2,"UNLICENSED"
14840448,1,"WITH CORRECTIVE LENSES"
14840448,2,"NONE"
14840460,1,"NONE"
14840460,2,"WITH CORRECTIVE LENSES"
14840460,2,"LOFS 21 OR OVER"
14840460,2,"MUST HOLD VALID LEARNER LIC. TO MM/DD/YY"
14840462,1,"UNLICENSED"
14840489,1,"UNLICENSED"
14840489,2,"NONE"
14840494,1,"OTHER/OUT OF STATE"
14840503,1,"WITH CORRECTIVE LENSES"
14840503,2,"NONE"
14840517,1,"UNLICENSED"
14840523,1,"WITH CORRECTIVE LENSES"
14840523,2,"WITH CORRECTIVE LENSES"
14840530,1,"NONE"
