"CRASH_ID","DAMAGED_PROPERTY"
14768622,"MAILBOX"
14768622,"YARD, GRASS"
14838668,"GUARDRAIL"
14838685,"ROAD SIGN"
14838693,"2009 MAZDA 3"
14838834,"CHAIN LINK FENCE"
14838841,"WOODED POLE ON SOUTH SIDE OF LOOP"
14838842,"CITY SIGN FOR TURN LANES"
14838877,"FENCE-CHAIN LINK"
14838977,"LANDSCAPING AND METAL SIGN"
14839047,"APARTMENT BUILDING"
14839047,"STREET SIGN"
14839048,"HOUSE"
14839314,"LIGHT POLE"
14839330,"MINOR DAMAGE TO WOODEN POLE"
14839442,"CITY OF SAN ANTONIO ALLAN WARRICK SIGN"
14839472,"METAL POLES"
14839517,"WATER ATTENUATOR"
14839519,"UTILITY POST"
14839551,"30 FEET OF GUARDRAIL"
14839561,"SCHOOL ZONE SIGN POLE"
14839561,"WOODEN FENCE"
14839642,"CONCRETE BARRIER"
14839675,"FENCE DAMAGE"
14839783,"STEEL FENCE"
14839783,"SIGNAL LIGHT CONTROL BOX"
14839836,"LIGHT POLE"
14839850,"UTILITY POLE/HIGHLINE"
14839850,"MAILBOX"
14839852,"MAILBOX"
14839852,"TRASHCANS (2)"
14839998,"MAILBOX, TREE, CULVERT"
14840030,"FENCE"
14840049,"TREE"
14840064,"FENCE"
14840107,"METAL LIGHT POLE"
14840230,"BARBED WIRE FENCE AND POSTS"
14840262,"WATER CRASH BARRIER"
14840432,"SIGN"
14840530,"GAS METER"
14840774,"US POSTAL BOX"
14840821,"TRAFFIC LITE POLE"
14840829,"UTILITY POLE"
14840833,"STREET LIGHT POLE"
14840901,"LEFT FREEWAY BARRIER"
14840901,"RIGHT FREEWAY BARRIER"
14840911,"FENCE DOOR"
14840919,"TELEPHONE POLCE"
14840930,"FENCE"
14840998,"TURN SIGNAL POLE"
14840998,"PEDESTRIAN CROSS WALK POLE"
14841071,"LIGHT POLE"
14841092,"STOP SIGN"
14841166,"LARGE CACTUS PLANT & POT"
14841278,"5 POLES AND CABLE BARRIER"
14841354,"SIGN"
14841469,"MAIL BOX"
14841469,"FENCE DAMAGE"
14841503,"FENCE"
14841617,"10 FT. STEEL GUARD RAIL"
14841737,"GUARDRAIL DAMAGE"
14841801,"WALL / TREE"
14841802,"DAMAGED STREET SIGN"
14841809,"GUARDRAIL"
14841830,"NATURAL GAS SIGN"
14841905,"CABLE BARRIER SYSTEM DAMAGE"
14842078,"FRONT GATE KNOCKED OFF TRACK."
14842081,"ELECTRICAL/TELECOMUNICATIONS POLE"
14842086,"AT&T CABLE BOX"
14842191,"CABLE BARRIER"
14842197,"LANDSCAPING SIGN"
14842239,"CARPORT PILLAR"
14842239,"CITY STREET SIGN"
14842239,"PECAN TREE"
14842278,"SPEED LIMIT SIGN AND POLE"
14842310,"TAU-II CRASH CUSHION"
14842583,"40 FT FENCE"
14842678,"RAN OVER BACK YARD CHAIN LINK FENCE."
14842678,"RAN OVER PROPERTY CHAIN LINK FENCE."
14842750,"GUARDRAIL"
14842794,"TIRE RUB - CONCRETE BARRIER"
14842963,"TELEPHONE POLE"
14842963,"LARGE CHUNKS OF SIDEWALK BROKEN"
14843120,"FIRE HYDRANT"
14843127,"GUARDRAIL"
14843169,"CONCRETE PILLAR"
14843236,"GUARD RAIL / CONCRETE BARRIER"
14843238,"LIGHT POLE"
14843260,"IRON FENCE"
14843289,"MEDIAN"
14844344,"POWERLINE POLE"
14844353,"TREE"
14844370,"MINOR GUARD RAIL DAMAGE"
14844448,"FENCE BRICK SUPPORT AND FENCING"
14844463,"CROSSWALK SIGNAL"
14844520,"GUARD RAIL"
14844520,"MERGE SIGN"
14844535,"100 FT OF CHAIN LINK FENCE"
14844538,"GUARDRAIL"
14844539,"FENCE BRICK/WOOD"
14844556,"STOP SIGN"
14844642,"NONE"
14844822,"GUARD RAIL"
14845008,"MAILBOXES"
14845137,"CULVERT"
14845150,"BARBED WIRE FENCE"
14845225,"MAIL BOX"
14845265,"BARBED WIRE FENCE"
14845290,"GUARDRAIL"
14845393,"TX DOT YIELD SIGN"
14845420,"GUARDRAIL"
14845438,"FENCE"
14845441,"STREET LIGHT"
14845479,"BARBED WIRE FENCE"
14845535,"NONE"
14845627,"TELEPHONE ELECTRICAL BOX"
14845686,"ELECTRONIC CROSSWALK SIGNAL"
14845764,"GUARDRAIL"
14845769,"GATE"
